-1,-1,0.2,1,0.043755,1
-1,-0.9,0.2,0.99795,0.045805,1
-1,-0.8,0.2,1,0.043755,1
-1,-0.7,0.2,0.95957,0.084186,0.95825
-1,-0.6,0.2,0.92526,0.11849,0.90336
-1,-0.5,0.2,0.91329,0.13047,0.83333
-1,-0.4,0.2,0.91329,0.13047,0.83333
-1,-0.3,0.2,0.91329,0.13047,0.83333
-1,-0.2,0.2,0.88012,0.16363,0.79097
-1,-0.1,0.2,0.83742,0.20633,0.73643
-1,0,0.2,0.78282,0.26094,0.66667
-1,0.1,0.2,0.83742,0.20633,0.73643
-1,0.2,0.2,0.88012,0.16363,0.79097
-1,0.3,0.2,0.91329,0.13047,0.83333
-1,0.4,0.2,0.91329,0.13047,0.83333
-1,0.5,0.2,0.91329,0.13047,0.83333
-1,0.6,0.2,0.92526,0.11849,0.90336
-1,0.7,0.2,0.95957,0.084186,0.95825
-1,0.8,0.2,1,0.043755,1
-1,0.9,0.2,0.99795,0.045805,1
-1,1,0.2,1,0.043755,1
-0.9,-1,0.2,0.99795,0.045805,1
-0.9,-0.9,0.2,0.93938,0.10438,0.93024
-0.9,-0.8,0.2,0.93938,0.10438,0.93024
-0.9,-0.7,0.2,0.93938,0.10438,0.93024
-0.9,-0.6,0.2,0.92526,0.11849,0.90336
-0.9,-0.5,0.2,0.91329,0.13047,0.83333
-0.9,-0.4,0.2,0.85847,0.18529,0.76331
-0.9,-0.3,0.2,0.85847,0.18529,0.76331
-0.9,-0.2,0.2,0.85847,0.18529,0.76331
-0.9,-0.1,0.2,0.83742,0.20633,0.73643
-0.9,0,0.2,0.78282,0.26094,0.66667
-0.9,0.1,0.2,0.83742,0.20633,0.73643
-0.9,0.2,0.2,0.85847,0.18529,0.76331
-0.9,0.3,0.2,0.85847,0.18529,0.76331
-0.9,0.4,0.2,0.85847,0.18529,0.76331
-0.9,0.5,0.2,0.91329,0.13047,0.83333
-0.9,0.6,0.2,0.92526,0.11849,0.90336
-0.9,0.7,0.2,0.93938,0.10438,0.93024
-0.9,0.8,0.2,0.93938,0.10438,0.93024
